City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Kushima,JP,2021-10-20 18:55:33,31.4583,131.2333,59.54,72,99,5.1
103,Havre-Saint-Pierre,CA,2021-10-20 18:55:34,50.2334,-63.5986,50.59,81,90,6.91
104,Key West,US,2021-10-20 18:53:26,24.5557,-81.7826,84.99,68,97,18.52
105,Lagos,NG,2021-10-20 18:51:17,6.5833,3.75,82.72,86,100,4.09
106,New Norfolk,AU,2021-10-20 18:51:38,-42.7826,147.0587,45.9,75,56,2.59
107,Iranshahr,IR,2021-10-20 18:55:35,27.2025,60.6848,84.54,21,0,4.61
108,Avera,US,2021-10-20 18:51:15,33.194,-82.5271,80.11,30,27,5.28
109,Leningradskiy,RU,2021-10-20 18:51:24,69.3833,178.4167,24.78,96,100,15.64
110,Thompson,CA,2021-10-20 18:49:16,55.7435,-97.8558,37.56,52,20,10.36
111,Inuvik,CA,2021-10-20 18:51:54,68.3499,-133.7218,22.21,90,75,4.61
112,Elizabeth City,US,2021-10-20 18:55:36,36.2946,-76.2511,79.03,43,0,4.0
113,Bursa,TR,2021-10-20 18:52:26,40.1667,29.0833,46.44,67,0,3.85
114,Sobolevo,RU,2021-10-20 18:55:37,54.4299,31.8996,48.06,84,100,19.8
115,Vestmannaeyjar,IS,2021-10-20 18:52:25,63.4427,-20.2734,36.59,48,0,25.32
116,Mahebourg,MU,2021-10-20 18:52:08,-20.4081,57.7,74.25,83,75,8.05
117,Lazaro Cardenas,MX,2021-10-20 18:52:34,17.9583,-102.2,85.33,70,100,6.26
118,Salym,RU,2021-10-20 18:55:38,60.0625,71.4789,39.16,87,100,6.71
119,Kuloy,RU,2021-10-20 18:55:38,61.0305,42.4925,31.17,78,100,11.21
120,Muros,ES,2021-10-20 18:52:33,42.7762,-9.0603,65.23,88,63,12.86
121,Nortelandia,BR,2021-10-20 18:55:39,-14.4547,-56.8028,86.68,55,96,0.98
122,Hit,IQ,2021-10-20 18:55:39,33.6416,42.8251,74.39,32,0,10.11
123,Atikokan,CA,2021-10-20 18:55:40,48.7555,-91.6216,45.95,39,100,7.56
124,Suez,EG,2021-10-20 18:55:40,29.9737,32.5263,69.03,68,98,9.84
125,Mount Gambier,AU,2021-10-20 18:51:13,-37.8333,140.7667,62.51,48,75,12.66
126,Kholodnyy,RU,2021-10-20 18:55:41,62.7167,147.95,-17.1,97,50,2.17
127,Ventspils,LV,2021-10-20 18:55:41,57.3894,21.5606,55.33,100,90,23.02
128,Ontario,US,2021-10-20 18:52:40,34.0633,-117.6509,78.04,43,20,1.99
129,Yarada,IN,2021-10-20 18:55:42,17.65,83.2667,80.92,94,40,2.3
130,Longyearbyen,SJ,2021-10-20 18:55:42,78.2186,15.6401,10.24,72,20,11.5
131,Bilma,NE,2021-10-20 18:55:42,18.6853,12.9164,88.0,13,0,9.75
132,Churapcha,RU,2021-10-20 18:55:43,62.0025,132.4325,15.3,97,100,5.77
133,Vigeland,NO,2021-10-20 18:55:43,58.0844,7.305,53.06,80,80,18.72
134,San Andres,CO,2021-10-20 18:55:44,12.5847,-81.7006,87.82,74,40,9.22
135,Yerofey Pavlovich,RU,2021-10-20 18:55:44,53.9667,121.9667,29.41,65,100,3.11
136,Guerrero Negro,MX,2021-10-20 18:47:47,27.9769,-114.0611,70.68,58,66,11.27
137,Moen,NO,2021-10-20 18:55:45,69.1304,18.6123,30.27,64,75,26.46
138,Pevek,RU,2021-10-20 18:50:50,69.7008,170.3133,18.45,93,100,14.34
139,Chapais,CA,2021-10-20 18:55:46,49.7834,-74.8492,40.78,91,100,6.58
140,Maridi,SS,2021-10-20 18:55:46,4.9158,29.4742,67.71,98,100,3.44
141,Puerto Ayora,EC,2021-10-20 18:50:10,-0.7393,-90.3518,76.96,80,100,11.27
142,Tuatapere,NZ,2021-10-20 18:55:47,-46.1333,167.6833,44.64,76,98,0.6
143,Gornopravdinsk,RU,2021-10-20 18:55:47,60.05,69.9,36.9,96,100,7.7
144,Saint-Philippe,RE,2021-10-20 18:51:19,-21.3585,55.7679,72.99,77,38,9.89
145,Omsukchan,RU,2021-10-20 18:55:48,62.5333,155.8,-12.14,97,36,4.29
146,Capitan Bado,PY,2021-10-20 18:55:48,-23.2667,-55.5333,75.72,51,3,7.56
147,Yar-Sale,RU,2021-10-20 18:55:49,66.8333,70.8333,28.9,89,61,4.74
148,Porto Santo,PT,2021-10-20 18:55:49,33.072,-16.3415,75.11,83,40,12.66
149,Xudat,AZ,2021-10-20 18:55:50,41.631,48.681,51.51,71,100,11.36
150,Chokurdakh,RU,2021-10-20 18:50:50,70.6333,147.9167,-14.85,95,99,2.98
151,Torbay,CA,2021-10-20 18:51:52,47.6666,-52.7314,50.29,98,90,6.91
152,Andra,RU,2021-10-20 18:55:51,62.5147,65.8878,31.26,85,100,2.93
153,Kayes,ML,2021-10-20 18:55:51,14.0,-11.0,87.58,43,100,5.77
154,Gabu,GW,2021-10-20 18:55:52,12.2833,-14.2167,83.91,58,95,3.22
155,Avarua,CK,2021-10-20 18:51:50,-21.2078,-159.775,75.25,69,40,4.61
156,Aklavik,CA,2021-10-20 18:52:14,68.2191,-135.0107,21.92,83,100,7.85
157,Kuching,MY,2021-10-20 18:55:53,1.55,110.3333,77.22,94,40,2.3
158,Mairi,BR,2021-10-20 18:55:53,-11.7114,-40.1489,92.12,31,82,2.59
159,Hilo,US,2021-10-20 18:50:49,19.7297,-155.09,82.27,76,40,4.61
160,Liyang,CN,2021-10-20 18:55:54,29.7057,118.2862,51.13,97,100,2.46
